solvent,SMILES,ET30,alpha,beta,pi_star,SA,SB,SP,SdP,N_mol_cm3,n,fn,delta
misc_N_compound,CN1CCCC1=O,0.05828867373606777,-0.5557874682470157,1.133819055745411,1.2513634111364769,-0.46971022829813414,0.6465537365397778,0.9886665238882567,1.3214717007138705,0.1290837330590438,0.5541609716760529,0.5298382778417865,0.4262670619188564
misc_N_compound,CN(C)C(=O)N(C)C,-0.12244740825474196,-0.5557874682470157,1.2356082976577174,0.9103863819220849,-0.5803176151277224,0.6829495867317237,0.5949717738475474,1.0830485180801765,-0.28954573192351035,0.21810420368187272,0.24605158827975077,-0.3757147872390322
misc_N_compound,CN(C)C(=N)N(C)C,-0.3448918168588149,-0.5557874682470157,1.4391867814823298,0.645182025866447,-0.5803176151277224,1.9270259205655098,0.6181302885558244,0.7062810195973017,-0.3586399154643203,0.5379263452029058,0.5162101034842873,-0.3962784243969263
carboxylic_acid,O=CO,,2.258959282875118,-0.18944108911456997,0.22843232349330167,,,,,3.4029287237721264,-1.046573198576424,-0.8610371639382453,
carboxylic_acid,CC(=O)O,1.3790523498227498,2.0072339636690737,0.048067142014144595,0.19054598691392477,2.5950361151050414,-0.09128940826057937,-0.8755939101280419,0.4884623095368899,1.5719328599406628,-1.0855363021119804,-0.896042866699664,-0.3757147872390322
carboxylic_acid,CCC(=O)O,1.2122190433696949,2.0072339636690737,0.048067142014144595,-0.03677203256233657,2.221736184555181,-0.13430268576015178,-0.7250635645242413,-0.22386374228229525,0.7326417481067071,-0.8095476520684516,-0.648865194529342,1.1665579996030604
carboxylic_acid,CC(C)C(=O)O,,,,,1.7931325605905264,-0.4519391965262248,-0.7829598512949338,-0.6124052250927599,0.20833882594409045,,,
carboxylic_acid,CCCC(=O)O,1.754427289342122,1.9614657238134292,0.048067142014144595,-0.11254470572108993,2.051216463192899,0.15355540212160199,-0.5976917336287176,-0.5211568465539385,0.23272500837025872,-0.6147321343906652,-0.4762416526676891,0.8992307165504315
carboxylic_acid,CCC(C)C(=O)O,,,,,1.4428758356301636,-0.554509319794436,-0.4703199027331941,-0.7330885644505556,-0.11274590933379097,,,
carboxylic_acid,CCCCC(=O)O,1.8795522691819129,2.167422803163829,0.048067142014144595,-0.1883173788798437,1.7332202260578327,0.18333382500592119,-0.45874064537905557,-0.6889361232220936,-0.11274590933379097,-0.4442685564225995,-0.3263317347352015,0.8169761679188529
carboxylic_acid,CCCCCC(=O)O,1.8934550447196676,2.2360751629472957,0.048067142014144595,-0.2640900520385975,1.562700504695551,-0.3758387824885199,-0.3313688144835333,-0.7801845017609149,-0.35457555172662575,-0.30627423140083504,-0.2055486992530555,0.7964125307609587
carboxylic_acid,CCCCCCC(=O)O,1.8378439425686495,2.190306923091651,0.048067142014144595,-0.3398627251973513,1.4705276823375608,-0.29642965479700156,-0.26189327035870225,-0.8007889743341972,-0.5456006473982767,-0.30627423140083504,-0.2055486992530555,0.36457615044517255
monohydric_alcohol,CO,1.8934550447196676,1.6868562846795623,0.7605918354002883,0.03900064059641722,2.2079102612014823,0.4215612080804762,-1.3735019763559977,1.1595794162095105,3.029007259904214,-1.734921361037935,-1.4890020608033896,1.7629034771820031
monohydric_alcohol,C=CCO,1.4068579008982582,1.366478605690051,1.5749057706987382,-0.2640900520385975,1.3322684488005754,0.5539097542330064,-0.25031401300456374,0.9682521708861754,0.9907288454503208,-0.3874473637665812,-0.2763617620910394,0.6935943449714859
monohydric_alcohol,CCCO,1.2400245944452044,1.366478605690051,1.5749057706987382,-0.2640900520385975,1.1110536751413986,1.205726344034219,-0.7945391086490723,0.7003940274335069,0.7224808387624705,-0.8420169050147494,-0.6777248578746337,0.755285256445169
monohydric_alcohol,CC(C)O,0.9202607570768492,1.1834056462674734,1.3713272868741255,-0.4156353983561051,0.7239278212378395,1.3645445994172554,-1.084020542502535,0.8770037923473545,0.6554188370905077,-0.9556592903267895,-0.7795353368983011,0.6113397963399072
monohydric_alcohol,CC(C)CO,0.9480663081523587,1.25205800605094,1.3713272868741255,-0.7187260909911197,0.852969772539026,1.3579271721096287,-0.8061183660032109,0.5120102781920696,0.21037100781293772,-0.6553187005735365,-0.512049012744255,0.4468306990767505
monohydric_alcohol,CC(C)(C)O,0.211219204651367,0.4053455687215177,1.6766950126110445,-0.680839754411743,0.08793534696770686,1.688798537490955,-1.0955997998566736,0.6532980901231474,0.18395264351792218,-0.7933130255953009,-0.6344353628566958,0.1795034160241217
monohydric_alcohol,CCC(C)O,0.7395246750860405,1.0232168067727176,1.2356082976577174,-0.7187260909911197,0.43819207192806986,1.5564499913384247,-0.8176976233573493,0.5767671919938134,0.23882155397680088,-0.6179790596852947,-0.47918106282322803,0.3851397876030674
monohydric_alcohol,CCCCCO,1.0175801858411313,1.366478605690051,1.4391867814823298,-0.7187260909911197,0.8898389014822221,1.4638060090316531,-0.45874064537905557,0.22649115824801586,-0.11477809120263824,-0.43615124318602594,-0.3191168188988788,0.34401251328727767
monohydric_alcohol,CCCC(C)O,0.6561080218595129,,,,0.3598451729237781,1.649093973645196,-0.6903257924618258,0.45608385263601786,-0.11477809120263824,-0.49621936113667725,-0.37175898259353124,
monohydric_alcohol,CCCCCCO,0.9758718592278671,1.2749421259787623,1.3713272868741255,-0.7187260909911197,0.871404337010624,1.5266715684541052,-0.3313688144835333,0.12346879538160505,-0.3505111879889309,-0.290039604927688,-0.19138608668545784,0.2206306903399107
monohydric_alcohol,CCCCC(C)O,,,,,0.0648921413782094,1.8145296563358588,-0.5050576747956096,0.26770010339458034,-0.3708330066774046,,,
